# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 如果有多个本地源文件，可以在config目录下创建local目录进行存放，支持txt/m3u文件格式
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
# If there are multiple local source files, you can create a local directory under the config directory for storage, supporting txt/m3u file formats
# 来源1：http://45.192.97.170:5222/2
# 来源2：http://45.192.97.170:6001/

咪咕央卫,#genre#
CCTV16,http://45.192.97.170:8880/play/225.m3u8
CCTV17,http://45.192.97.170:8880/play/226.m3u8
CCTV17,http://45.192.97.170:8880/play/227.m3u8
东南卫视,http://45.192.97.170:8880/play/228.m3u8
东南卫视,http://45.192.97.170:8880/play/229.m3u8
东方卫视,http://45.192.97.170:8880/play/230.m3u8
云南卫视,http://45.192.97.170:8880/play/231.m3u8
云南卫视,http://45.192.97.170:8880/play/232.m3u8
北京卫视,http://45.192.97.170:8880/play/233.m3u8
北京卫视,http://45.192.97.170:8880/play/234.m3u8
吉林卫视,http://45.192.97.170:8880/play/235.m3u8
四川卫视,http://45.192.97.170:8880/play/236.m3u8
安徽卫视,http://45.192.97.170:8880/play/237.m3u8
安徽卫视,http://45.192.97.170:8880/play/238.m3u8
山东卫视,http://45.192.97.170:8880/play/239.m3u8
山东卫视,http://45.192.97.170:8880/play/240.m3u8
山西卫视,http://45.192.97.170:8880/play/241.m3u8
山西卫视,http://45.192.97.170:8880/play/242.m3u8
广东卫视,http://45.192.97.170:8880/play/243.m3u8
广东卫视,http://45.192.97.170:8880/play/244.m3u8
广东卫视,http://45.192.97.170:8880/play/245.m3u8
广西卫视,http://45.192.97.170:8880/play/246.m3u8
广西卫视,http://45.192.97.170:8880/play/247.m3u8
江苏卫视,http://45.192.97.170:8880/play/248.m3u8
河北卫视,http://45.192.97.170:8880/play/249.m3u8
河北卫视,http://45.192.97.170:8880/play/250.m3u8
浙江卫视,http://45.192.97.170:8880/play/251.m3u8
浙江卫视,http://45.192.97.170:8880/play/252.m3u8
浙江卫视,http://45.192.97.170:8880/play/253.m3u8
深圳卫视,http://45.192.97.170:8880/play/254.m3u8
深圳卫视,http://45.192.97.170:8880/play/255.m3u8
深圳卫视,http://45.192.97.170:8880/play/256.m3u8
湖北卫视,http://45.192.97.170:8880/play/257.m3u8
湖南卫视,http://45.192.97.170:8880/play/258.m3u8
湖南卫视,http://45.192.97.170:8880/play/259.m3u8
辽宁卫视,http://45.192.97.170:8880/play/260.m3u8
辽宁卫视,http://45.192.97.170:8880/play/261.m3u8
陕西卫视,http://45.192.97.170:8880/play/262.m3u8
陕西卫视,http://45.192.97.170:8880/play/263.m3u8
贵州卫视,http://45.192.97.170:8880/play/264.m3u8
黑龙江卫视,http://45.192.97.170:8880/play/265.m3u8
福建电视剧,http://45.192.97.170:8880/play/266.m3u8
内蒙古卫视,http://45.192.97.170:8880/play/267.m3u8
内蒙古卫视,http://45.192.97.170:8880/play/268.m3u8
天津卫视,http://45.192.97.170:8880/play/269.m3u8
天津卫视,http://45.192.97.170:8880/play/270.m3u8
天津卫视,http://45.192.97.170:8880/play/271.m3u8
江西卫视,http://45.192.97.170:8880/play/272.m3u8
江西卫视,http://45.192.97.170:8880/play/273.m3u8
江西卫视,http://45.192.97.170:8880/play/274.m3u8
河南卫视,http://45.192.97.170:8880/play/275.m3u8
河南卫视,http://45.192.97.170:8880/play/276.m3u8
重庆卫视,http://45.192.97.170:8880/play/277.m3u8
重庆卫视,http://45.192.97.170:8880/play/278.m3u8
重庆卫视,http://45.192.97.170:8880/play/279.m3u8
青海卫视,http://45.192.97.170:8880/play/280.m3u8
青海卫视,http://45.192.97.170:8880/play/281.m3u8
青海卫视,http://45.192.97.170:8880/play/282.m3u8
兵团卫视,http://45.192.97.170:8880/play/283.m3u8
宁夏卫视,http://45.192.97.170:8880/play/284.m3u8
宁夏卫视,http://45.192.97.170:8880/play/285.m3u8
新疆卫视,http://45.192.97.170:8880/play/286.m3u8
新疆卫视,http://45.192.97.170:8880/play/287.m3u8
新疆卫视,http://45.192.97.170:8880/play/288.m3u8
西藏卫视,http://45.192.97.170:8880/play/289.m3u8
西藏卫视,http://45.192.97.170:8880/play/290.m3u8
西藏卫视,http://45.192.97.170:8880/play/291.m3u8
甘肃卫视,http://45.192.97.170:8880/play/292.m3u8
甘肃卫视,http://45.192.97.170:8880/play/293.m3u8
旅游卫视,http://45.192.97.170:8880/play/294.m3u8
兰州新闻综合,http://45.192.97.170:8880/play/295.m3u8
康巴卫视,http://45.192.97.170:8880/play/296.m3u8
SCTV2,http://45.192.97.170:8880/play/297.m3u8
SCTV3,http://45.192.97.170:8880/play/298.m3u8
SCTV4,http://45.192.97.170:8880/play/299.m3u8
SCTV5,http://45.192.97.170:8880/play/300.m3u8
SCTV6,http://45.192.97.170:8880/play/301.m3u8
SCTV7,http://45.192.97.170:8880/play/302.m3u8
电视直播,#genre#
CCTV1,http://45.192.97.170:8880/play/303.m3u8
CCTV1,http://45.192.97.170:8880/play/304.m3u8
CCTV1,http://45.192.97.170:8880/play/305.m3u8
CCTV2,http://45.192.97.170:8880/play/306.m3u8
CCTV2,http://45.192.97.170:8880/play/307.m3u8
CCTV2,http://45.192.97.170:8880/play/308.m3u8
CCTV2,http://45.192.97.170:8880/play/309.m3u8
CCTV3,http://45.192.97.170:8880/play/310.m3u8
CCTV3,http://45.192.97.170:8880/play/311.m3u8
CCTV3,http://45.192.97.170:8880/play/312.m3u8
CCTV3,http://45.192.97.170:8880/play/313.m3u8
CCTV4,http://45.192.97.170:8880/play/314.m3u8
CCTV4,http://45.192.97.170:8880/play/315.m3u8
CCTV4,http://45.192.97.170:8880/play/316.m3u8
CCTV5,http://45.192.97.170:8880/play/317.m3u8
CCTV5,http://45.192.97.170:8880/play/318.m3u8
CCTV5,http://45.192.97.170:8880/play/319.m3u8
CCTV5,http://45.192.97.170:8880/play/320.m3u8
CCTV5+,http://45.192.97.170:8880/play/321.m3u8
CCTV5+,http://45.192.97.170:8880/play/322.m3u8
CCTV5+,http://45.192.97.170:8880/play/323.m3u8
CCTV6,http://45.192.97.170:8880/play/324.m3u8
CCTV6,http://45.192.97.170:8880/play/325.m3u8
CCTV6,http://45.192.97.170:8880/play/326.m3u8
CCTV6,http://45.192.97.170:8880/play/327.m3u8
CCTV7,http://45.192.97.170:8880/play/328.m3u8
CCTV7,http://45.192.97.170:8880/play/329.m3u8
CCTV7,http://45.192.97.170:8880/play/330.m3u8
CCTV7,http://45.192.97.170:8880/play/331.m3u8
CCTV8,http://45.192.97.170:8880/play/332.m3u8
CCTV8,http://45.192.97.170:8880/play/333.m3u8
CCTV8,http://45.192.97.170:8880/play/334.m3u8
CCTV8,http://45.192.97.170:8880/play/335.m3u8
CCTV9,http://45.192.97.170:8880/play/336.m3u8
CCTV9,http://45.192.97.170:8880/play/337.m3u8
CCTV9,http://45.192.97.170:8880/play/338.m3u8
CCTV10,http://45.192.97.170:8880/play/339.m3u8
CCTV10,http://45.192.97.170:8880/play/340.m3u8
CCTV10,http://45.192.97.170:8880/play/341.m3u8
CCTV11,http://45.192.97.170:8880/play/342.m3u8
CCTV11,http://45.192.97.170:8880/play/343.m3u8
CCTV11,http://45.192.97.170:8880/play/344.m3u8
CCTV12,http://45.192.97.170:8880/play/345.m3u8
CCTV12,http://45.192.97.170:8880/play/346.m3u8
CCTV12,http://45.192.97.170:8880/play/347.m3u8
CCTV13,http://45.192.97.170:8880/play/348.m3u8
CCTV13,http://45.192.97.170:8880/play/349.m3u8
CCTV13,http://45.192.97.170:8880/play/350.m3u8
CCTV14,http://45.192.97.170:8880/play/351.m3u8
CCTV14,http://45.192.97.170:8880/play/352.m3u8
CCTV14,http://45.192.97.170:8880/play/353.m3u8
CCTV15,http://45.192.97.170:8880/play/354.m3u8
CCTV15,http://45.192.97.170:8880/play/355.m3u8
CCTV15,http://45.192.97.170:8880/play/356.m3u8
CCTV17,http://45.192.97.170:8880/play/357.m3u8
CCTV17,http://45.192.97.170:8880/play/358.m3u8
CCTV17,http://45.192.97.170:8880/play/359.m3u8
CCTV17,http://45.192.97.170:8880/play/360.m3u8
凤凰卫视,http://45.192.97.170:8880/play/361.m3u8
凤凰资讯,http://45.192.97.170:8880/play/362.m3u8
凤凰资讯,http://45.192.97.170:8880/play/363.m3u8
凤凰中文,http://45.192.97.170:8880/play/364.m3u8
凤凰影视,http://45.192.97.170:8880/play/365.m3u8
