IPTV-01,#genre#
CCTV15,http://113.90.154.189:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://113.90.154.189:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://113.90.154.189:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://113.90.154.189:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0

IPTV-03,#genre#
CCTV1,http://218.1.138.153:9003/hls/1/index.m3u8
CCTV2,http://218.1.138.153:9003/hls/2/index.m3u8
CCTV3,http://218.1.138.153:9003/hls/3/index.m3u8
CCTV4,http://218.1.138.153:9003/hls/4/index.m3u8
CCTV5,http://218.1.138.153:9003/hls/5/index.m3u8
CCTV6,http://218.1.138.153:9003/hls/6/index.m3u8
CCTV7,http://218.1.138.153:9003/hls/7/index.m3u8
CCTV8,http://218.1.138.153:9003/hls/8/index.m3u8
CCTV9,http://218.1.138.153:9003/hls/9/index.m3u8
CCTV10,http://218.1.138.153:9003/hls/10/index.m3u8
CCTV11,http://218.1.138.153:9003/hls/11/index.m3u8
CCTV12,http://218.1.138.153:9003/hls/12/index.m3u8
CCTV13,http://218.1.138.153:9003/hls/13/index.m3u8
东南卫视,http://218.1.138.153:9003/hls/36/index.m3u8
东方卫视,http://218.1.138.153:9003/hls/14/index.m3u8
北京卫视,http://218.1.138.153:9003/hls/20/index.m3u8
四川卫视,http://218.1.138.153:9003/hls/22/index.m3u8
天津卫视,http://218.1.138.153:9003/hls/23/index.m3u8
安徽卫视,http://218.1.138.153:9003/hls/24/index.m3u8
山东卫视,http://218.1.138.153:9003/hls/25/index.m3u8
山西卫视,http://218.1.138.153:9003/hls/35/index.m3u8
广东卫视,http://218.1.138.153:9003/hls/26/index.m3u8
广西卫视,http://218.1.138.153:9003/hls/27/index.m3u8
江苏卫视,http://218.1.138.153:9003/hls/28/index.m3u8
江西卫视,http://218.1.138.153:9003/hls/29/index.m3u8
河北卫视,http://218.1.138.153:9003/hls/30/index.m3u8
河南卫视,http://218.1.138.153:9003/hls/31/index.m3u8
浙江卫视,http://218.1.138.153:9003/hls/32/index.m3u8
深圳卫视,http://218.1.138.153:9003/hls/33/index.m3u8
湖北卫视,http://218.1.138.153:9003/hls/34/index.m3u8
湖南卫视,http://218.1.138.153:9003/hls/21/index.m3u8
贵州卫视,http://218.1.138.153:9003/hls/37/index.m3u8
辽宁卫视,http://218.1.138.153:9003/hls/38/index.m3u8
黑龙江卫视,http://218.1.138.153:9003/hls/40/index.m3u8
上海新闻,http://218.1.138.153:9003/hls/18/index.m3u8
东方财经,http://218.1.138.153:9003/hls/17/index.m3u8
五星体育,http://218.1.138.153:9003/hls/16/index.m3u8
法治天地,http://218.1.138.153:9003/hls/19/index.m3u8
第一财经,http://218.1.138.153:9003/hls/15/index.m3u8
CCTV4中文国,http://218.1.138.153:9003/hls/4/index.m3u8
CCTV7国防军,http://218.1.138.153:9003/hls/7/index.m3u8
CCTV12社会法,http://218.1.138.153:9003/hls/12/index.m3u8

IPTV-04,#genre#
CCTV1,http://112.30.73.119:229/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://112.30.73.119:229/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://112.30.73.119:229/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://112.30.73.119:229/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://112.30.73.119:229/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://112.30.73.119:229/tsfile/live/0005_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://112.30.73.119:229/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://112.30.73.119:229/tsfile/live/0006_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://112.30.73.119:229/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://112.30.73.119:229/tsfile/live/0008_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://112.30.73.119:229/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://112.30.73.119:229/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://112.30.73.119:229/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
